Week,Organization,Treasury,Members,Territories,Heat,Active
0,Solomons' Bakery,2825,5,1,0,True
0,Sabini's Gang,1067,5,1,0,True
0,The Cabal,876,5,2,5,True
0,Peaky Blinders,2547,4,1,10,True
0,Camden Boys,2198,5,1,0,True
0,The Iron Hand,1483,5,1,0,True
1,Solomons' Bakery,2850,5,1,0,True
1,Sabini's Gang,1060,5,1,0,True
1,The Cabal,977,5,3,10,True
1,Peaky Blinders,2714,4,1,9,True
1,Camden Boys,2241,5,1,0,True
1,The Iron Hand,1496,5,1,0,True
2,Solomons' Bakery,0,0,0,22,False
2,Sabini's Gang,1053,5,1,0,True
2,The Cabal,4009,5,4,32,True
2,Peaky Blinders,2881,4,1,7,True
2,Camden Boys,1584,6,1,0,True
2,The Iron Hand,1509,5,2,5,True
3,Solomons' Bakery,0,0,0,22,False
3,Sabini's Gang,1046,5,1,0,True
3,The Cabal,4202,5,5,37,True
3,Peaky Blinders,3048,4,1,7,True
3,Camden Boys,1307,6,1,7,True
3,The Iron Hand,1567,5,3,10,True
4,Solomons' Bakery,0,0,0,22,False
4,Sabini's Gang,1039,5,2,5,True
4,The Cabal,4476,5,5,33,True
4,Peaky Blinders,3215,4,1,7,True
4,Camden Boys,1393,6,2,12,True
4,The Iron Hand,1754,5,3,6,True
5,Solomons' Bakery,0,0,0,22,False
5,Sabini's Gang,354,6,2,5,True
5,The Cabal,4600,5,5,37,True
5,Peaky Blinders,3382,4,1,7,True
5,Camden Boys,1503,6,3,17,True
5,The Iron Hand,1241,6,3,6,True
6,Solomons' Bakery,0,0,0,22,False
6,Sabini's Gang,349,6,2,5,True
6,The Cabal,4944,5,6,42,True
6,Peaky Blinders,3549,4,1,7,True
6,Camden Boys,1545,6,3,21,True
6,The Iron Hand,708,6,3,6,True
7,Solomons' Bakery,0,0,0,22,False
7,Sabini's Gang,194,6,2,9,True
7,The Cabal,5424,5,6,42,True
7,Peaky Blinders,3716,4,1,7,True
7,Camden Boys,1791,6,3,21,True
7,The Iron Hand,875,6,3,0,True
8,Solomons' Bakery,0,0,0,22,False
8,Sabini's Gang,258,6,2,0,True
8,The Cabal,5904,5,6,42,True
8,Peaky Blinders,3583,4,1,14,True
8,Camden Boys,2037,6,4,26,True
8,The Iron Hand,892,6,3,4,True
9,Solomons' Bakery,0,0,0,22,False
9,Sabini's Gang,322,6,2,0,True
9,The Cabal,6384,4,5,49,True
9,Peaky Blinders,3305,4,1,24,True
9,Camden Boys,2325,6,5,41,True
9,The Iron Hand,1141,6,3,4,True
10,Solomons' Bakery,0,0,0,22,False
10,Sabini's Gang,386,6,2,0,True
10,The Cabal,6794,4,5,45,True
10,Peaky Blinders,3578,4,2,29,True
10,Camden Boys,2298,5,4,11,True
10,The Iron Hand,690,7,3,4,True
11,Solomons' Bakery,0,0,0,22,False
11,Sabini's Gang,200,7,2,0,True
11,The Cabal,7204,4,5,41,True
11,Peaky Blinders,3887,4,3,34,True
11,Camden Boys,2672,5,4,11,True
11,The Iron Hand,919,7,4,9,True
12,Solomons' Bakery,0,0,0,22,False
12,Sabini's Gang,244,6,2,0,True
12,The Cabal,7614,4,5,36,True
12,Peaky Blinders,3332,3,3,11,True
12,Camden Boys,2346,6,4,11,True
12,The Iron Hand,883,7,4,16,True
13,Solomons' Bakery,0,0,0,22,False
13,Sabini's Gang,308,6,3,5,True
13,The Cabal,8024,4,6,41,True
13,Peaky Blinders,3685,3,3,11,True
13,Camden Boys,2700,6,4,11,True
13,The Iron Hand,1207,7,4,16,True
14,Solomons' Bakery,0,0,0,22,False
14,Sabini's Gang,447,6,3,5,True
14,The Cabal,7763,4,6,41,True
14,Peaky Blinders,3538,3,3,21,True
14,Camden Boys,3054,6,4,11,True
14,The Iron Hand,1531,7,4,16,True
15,Solomons' Bakery,0,0,0,22,False
15,Sabini's Gang,336,7,3,5,True
15,The Cabal,8202,4,6,34,True
15,Peaky Blinders,3960,3,3,21,True
15,Camden Boys,2908,6,4,21,True
15,The Iron Hand,1855,6,4,16,True
16,Solomons' Bakery,0,0,0,22,False
16,Sabini's Gang,305,7,3,9,True
16,The Cabal,7345,3,5,4,True
16,Peaky Blinders,3682,4,3,21,True
16,Camden Boys,2641,7,4,21,True
16,The Iron Hand,2199,6,4,16,True
17,Solomons' Bakery,0,0,0,22,False
17,Sabini's Gang,503,6,3,24,True
17,The Cabal,7061,4,5,4,True
17,Peaky Blinders,4084,4,4,26,True
17,Camden Boys,3054,7,4,28,True
17,The Iron Hand,2543,6,4,11,True
18,Solomons' Bakery,0,0,0,22,False
18,Sabini's Gang,721,6,3,22,True
18,The Cabal,7457,4,5,4,True
18,Peaky Blinders,4529,4,4,26,True
18,Camden Boys,3467,7,4,28,True
18,The Iron Hand,2887,6,4,11,True
19,Solomons' Bakery,0,0,0,22,False
19,Sabini's Gang,239,7,3,22,True
19,The Cabal,7553,4,5,11,True
19,Peaky Blinders,4474,4,4,36,True
19,Camden Boys,3880,7,4,28,True
19,The Iron Hand,2731,6,4,21,True
