Week,Organization,Treasury,Members,Territories,Heat,Active
0,The Iron Hand,4179,7,1,0,True
0,The Cabal,5673,8,2,5,True
0,Peaky Blinders,6981,8,1,7,True
1,The Iron Hand,3911,7,1,7,True
1,The Cabal,5777,8,2,5,True
1,Peaky Blinders,6364,9,1,7,True
2,The Iron Hand,3845,7,1,11,True
2,The Cabal,5581,8,2,12,True
2,Peaky Blinders,6427,9,2,12,True
3,The Iron Hand,4019,7,2,16,True
3,The Cabal,5457,8,2,19,True
3,Peaky Blinders,6580,9,2,12,True
4,The Iron Hand,3515,8,2,16,True
4,The Cabal,5561,8,2,23,True
4,Peaky Blinders,6583,8,2,16,True
5,The Iron Hand,3691,8,3,21,True
5,The Cabal,5892,8,2,23,True
5,Peaky Blinders,6819,8,2,9,True
6,The Iron Hand,3799,8,3,25,True
6,The Cabal,5523,9,2,23,True
6,Peaky Blinders,7055,7,3,14,True
7,The Iron Hand,3619,8,3,35,True
7,The Cabal,5834,9,2,23,True
7,Peaky Blinders,7384,7,3,14,True
8,The Iron Hand,3993,8,4,40,True
8,The Cabal,5445,9,2,23,True
8,Peaky Blinders,7713,7,3,14,True
9,The Iron Hand,4236,8,4,44,True
9,The Cabal,5756,9,3,28,True
9,Peaky Blinders,8042,7,3,14,True
10,The Iron Hand,3982,8,4,44,True
10,The Cabal,6102,9,4,33,True
10,Peaky Blinders,8371,7,4,19,True
11,The Iron Hand,4428,8,4,39,True
11,The Cabal,6503,9,4,33,True
11,Peaky Blinders,8591,7,4,23,True
12,The Iron Hand,4174,9,4,39,True
12,The Cabal,6904,9,4,33,True
12,Peaky Blinders,9013,7,5,28,True
13,The Iron Hand,4100,9,4,49,True
13,The Cabal,7305,7,4,33,True
13,Peaky Blinders,9530,7,6,33,True
14,The Iron Hand,4465,9,4,53,True
14,The Cabal,7746,7,5,38,True
14,Peaky Blinders,10156,7,7,38,True
15,The Iron Hand,5070,9,4,46,True
15,The Cabal,8293,7,6,43,True
15,Peaky Blinders,10839,7,7,37,True
16,The Iron Hand,5175,9,4,56,True
16,The Cabal,8855,6,6,43,True
16,Peaky Blinders,11522,7,7,36,True
17,The Iron Hand,5346,9,4,66,True
17,The Cabal,9287,6,6,47,True
17,Peaky Blinders,12205,7,7,36,True
18,The Iron Hand,5395,10,4,66,True
18,The Cabal,9951,6,6,47,True
18,Peaky Blinders,12888,7,8,41,True
19,The Iron Hand,6124,10,5,71,True
19,The Cabal,10615,6,6,47,True
19,Peaky Blinders,13705,7,8,41,True
