Week,Organization,Treasury,Members,Territories,Heat,Active
0,Sabini's Gang,1014,5,1,10,True
0,Camden Boys,1089,5,1,10,True
0,Solomons' Bakery,917,5,1,4,True
0,The Cabal,887,5,1,0,True
0,Backstreet Boys,1421,5,1,7,True
0,Kimber's Boys,1157,5,1,7,True
1,Sabini's Gang,388,6,1,10,True
1,Camden Boys,1047,4,1,14,True
1,Solomons' Bakery,985,5,2,9,True
1,The Cabal,947,5,1,0,True
1,Backstreet Boys,810,6,1,7,True
1,Kimber's Boys,1154,5,1,11,True
2,Sabini's Gang,442,6,1,10,True
2,Camden Boys,1256,4,1,14,True
2,Solomons' Bakery,419,6,2,9,True
2,The Cabal,1007,5,2,5,True
2,Backstreet Boys,879,6,2,12,True
2,Kimber's Boys,1363,5,1,11,True
3,Sabini's Gang,246,6,1,10,True
3,Camden Boys,1465,4,1,14,True
3,Solomons' Bakery,283,6,2,16,True
3,The Cabal,1112,5,2,20,True
3,Backstreet Boys,1031,6,3,17,True
3,Kimber's Boys,1422,5,1,15,True
4,Sabini's Gang,300,6,2,15,True
4,Camden Boys,1674,3,2,19,True
4,Solomons' Bakery,397,6,3,21,True
4,The Cabal,1217,5,2,20,True
4,Backstreet Boys,1235,6,3,17,True
4,Kimber's Boys,1701,5,1,11,True
5,Sabini's Gang,405,6,3,20,True
5,Camden Boys,1958,3,3,24,True
5,Solomons' Bakery,553,6,3,17,True
5,The Cabal,1022,5,2,27,True
5,Backstreet Boys,1439,6,3,13,True
5,Kimber's Boys,1830,5,1,15,True
6,Sabini's Gang,240,6,3,27,True
6,Camden Boys,2010,3,3,31,True
6,Solomons' Bakery,9,7,3,17,True
6,The Cabal,1213,5,3,32,True
6,Backstreet Boys,1643,6,3,13,True
6,Kimber's Boys,2172,5,2,20,True
7,Sabini's Gang,427,6,3,27,True
7,Camden Boys,2422,3,3,38,True
7,Solomons' Bakery,145,7,3,7,True
7,The Cabal,1530,5,3,26,True
7,Backstreet Boys,1847,6,4,18,True
7,Kimber's Boys,2579,5,2,35,True
8,Sabini's Gang,614,6,3,27,True
8,Camden Boys,2834,3,3,38,True
8,Solomons' Bakery,281,7,3,7,True
8,The Cabal,1847,5,4,31,True
8,Backstreet Boys,2117,6,4,18,True
8,Kimber's Boys,2286,6,2,35,True
9,Sabini's Gang,801,6,4,32,True
9,Camden Boys,3246,3,3,53,True
9,Solomons' Bakery,117,7,3,14,True
9,The Cabal,2188,5,4,31,True
9,Backstreet Boys,2387,6,4,18,True
9,Kimber's Boys,2673,6,2,42,True
10,Sabini's Gang,758,6,4,39,True
10,Camden Boys,3658,2,3,68,True
10,Solomons' Bakery,91,8,3,14,True
10,The Cabal,2529,5,4,31,True
10,Backstreet Boys,2657,6,4,8,True
10,Kimber's Boys,3060,6,2,42,True
11,Sabini's Gang,375,7,4,39,True
11,Camden Boys,4090,2,3,68,True
11,Solomons' Bakery,295,8,3,14,True
11,The Cabal,2870,5,4,31,True
11,Backstreet Boys,2227,7,4,8,True
11,Kimber's Boys,3447,6,2,42,True
12,Sabini's Gang,672,7,4,39,True
12,Camden Boys,3844,1,3,53,True
12,Solomons' Bakery,349,8,3,18,True
12,The Cabal,3211,5,4,31,True
