Week,Organization,Treasury,Members,Territories,Heat,Active
0,Sabini's Gang,2923,5,2,5,True
0,Kimber's Boys,2838,4,2,5,True
1,Sabini's Gang,2930,5,2,5,True
1,Kimber's Boys,2958,4,3,10,True
2,Sabini's Gang,2937,5,2,5,True
2,Kimber's Boys,2895,4,3,17,True
3,Sabini's Gang,2944,5,2,5,True
3,Kimber's Boys,3217,4,4,22,True
4,Sabini's Gang,2251,6,2,5,True
4,Kimber's Boys,3429,4,4,26,True
5,Sabini's Gang,2238,6,3,10,True
5,Kimber's Boys,3847,4,4,26,True
6,Sabini's Gang,2297,6,4,15,True
6,Kimber's Boys,4265,4,4,26,True
7,Sabini's Gang,2502,6,4,15,True
7,Kimber's Boys,4683,4,4,26,True
8,Sabini's Gang,2707,6,5,20,True
8,Kimber's Boys,5101,4,4,21,True
9,Sabini's Gang,2555,6,5,30,True
9,Kimber's Boys,5519,4,4,21,True
10,Sabini's Gang,2485,6,5,40,True
10,Kimber's Boys,5237,5,4,21,True
11,Sabini's Gang,2840,6,5,44,True
11,Kimber's Boys,4935,6,4,21,True
12,Sabini's Gang,2727,7,5,44,True
12,Kimber's Boys,5313,6,4,21,True
13,Sabini's Gang,3294,7,5,34,True
13,Kimber's Boys,5691,6,4,21,True
14,Sabini's Gang,3361,7,5,44,True
14,Kimber's Boys,5569,6,4,31,True
15,Sabini's Gang,3980,7,5,44,True
15,Kimber's Boys,6013,5,4,25,True
16,Sabini's Gang,4599,7,5,44,True
16,Kimber's Boys,6477,5,5,30,True
17,Sabini's Gang,4518,8,5,44,True
17,Kimber's Boys,6471,5,5,40,True
18,Sabini's Gang,5117,8,5,38,True
18,Kimber's Boys,7025,5,6,45,True
19,Sabini's Gang,5716,8,5,38,True
19,Kimber's Boys,7606,5,7,50,True
