Week,Organization,Treasury,Members,Territories,Heat,Active
0,The Cabal,841,6,1,0,True
0,Sabini's Gang,2591,5,1,0,True
0,Solomons' Bakery,968,5,1,0,True
0,The Iron Hand,1983,5,1,0,True
0,Camden Boys,2618,5,1,0,True
0,Peaky Blinders,2368,5,1,0,True
0,Backstreet Boys,2087,5,1,0,True
0,Kimber's Boys,2028,5,1,0,True
1,The Cabal,126,7,1,0,True
1,Sabini's Gang,2069,5,1,10,True
1,Solomons' Bakery,550,5,1,10,True
1,The Iron Hand,1963,5,1,0,True
1,Camden Boys,2643,5,1,0,True
1,Peaky Blinders,2458,5,1,0,True
1,Backstreet Boys,1921,5,1,4,True
1,Kimber's Boys,2074,5,1,0,True
2,The Cabal,91,7,1,0,True
2,Sabini's Gang,1835,5,1,17,True
2,Solomons' Bakery,693,5,1,10,True
2,The Iron Hand,1943,5,1,0,True
2,Camden Boys,2668,5,1,0,True
2,Peaky Blinders,2548,5,1,0,True
2,Backstreet Boys,1983,5,1,4,True
2,Kimber's Boys,2120,5,1,0,True
3,The Cabal,56,7,1,0,True
3,Sabini's Gang,1269,6,1,17,True
3,Solomons' Bakery,836,5,1,2,True
3,The Iron Hand,1923,5,1,0,True
3,Camden Boys,2693,5,1,0,True
3,Peaky Blinders,1938,6,1,0,True
3,Backstreet Boys,1745,5,1,11,True
3,Kimber's Boys,1466,6,1,0,True
4,The Cabal,2739,7,2,15,True
4,Sabini's Gang,1383,6,1,17,True
4,Solomons' Bakery,679,5,1,9,True
4,The Iron Hand,1903,5,1,0,True
4,Camden Boys,0,0,0,0,False
4,Peaky Blinders,1508,6,1,10,True
4,Backstreet Boys,1888,5,1,11,True
4,Kimber's Boys,1342,6,1,4,True
5,The Cabal,2058,8,2,15,True
5,Sabini's Gang,1497,6,1,15,True
5,Solomons' Bakery,579,5,1,16,True
5,The Iron Hand,1883,5,1,0,True
5,Camden Boys,0,0,0,0,False
5,Peaky Blinders,1631,6,1,2,True
5,Backstreet Boys,1881,5,1,15,True
5,Kimber's Boys,1142,6,1,11,True
6,The Cabal,2057,8,2,10,True
