Week,Organization,Treasury,Members,Territories,Heat,Active
0,The Cabal,1555,6,1,0,True
0,Kimber's Boys,2534,5,2,5,True
0,Backstreet Boys,1373,5,1,0,True
0,Peaky Blinders,2682,5,2,5,True
0,The Iron Hand,1440,5,1,10,True
0,Solomons' Bakery,1977,5,1,0,True
1,The Cabal,1363,6,1,7,True
1,Kimber's Boys,1929,6,2,5,True
1,Backstreet Boys,1371,5,1,0,True
1,Peaky Blinders,2023,6,2,5,True
1,The Iron Hand,1491,5,1,2,True
1,Solomons' Bakery,1953,5,1,0,True
2,The Cabal,1527,6,2,12,True
2,Kimber's Boys,1304,7,2,5,True
2,Backstreet Boys,869,5,1,10,True
2,Peaky Blinders,1744,6,2,12,True
2,The Iron Hand,842,6,1,2,True
2,Solomons' Bakery,1929,5,1,0,True
3,The Cabal,1572,6,2,16,True
3,Kimber's Boys,659,8,2,5,True
3,Backstreet Boys,801,5,1,14,True
3,Peaky Blinders,1823,6,2,12,True
3,The Iron Hand,873,6,2,7,True
3,Solomons' Bakery,1905,5,1,0,True
4,The Cabal,1837,6,2,14,True
4,Kimber's Boys,694,7,3,10,True
4,Backstreet Boys,239,6,1,14,True
4,Peaky Blinders,1902,5,2,27,True
4,The Iron Hand,965,6,2,6,True
4,Solomons' Bakery,1881,5,2,5,True
5,The Cabal,2102,6,2,9,True
5,Kimber's Boys,764,7,4,15,True
5,Backstreet Boys,357,6,1,5,True
5,Peaky Blinders,2001,5,2,34,True
5,The Iron Hand,1057,5,2,21,True
5,Solomons' Bakery,1897,5,3,10,True
6,The Cabal,1667,7,2,9,True
6,Kimber's Boys,266,8,4,15,True
6,Backstreet Boys,475,6,2,10,True
6,Peaky Blinders,2100,4,3,56,True
6,The Iron Hand,1169,5,1,43,True
6,Solomons' Bakery,1932,5,3,10,True
7,The Cabal,1912,7,2,2,True
7,Kimber's Boys,198,9,4,15,True
7,Backstreet Boys,704,6,2,10,True
7,Peaky Blinders,2280,3,3,71,True
7,The Iron Hand,720,4,1,60,True
7,Solomons' Bakery,1667,5,3,17,True
8,The Cabal,2157,7,3,7,True
8,Kimber's Boys,110,10,4,15,True
8,Backstreet Boys,933,6,2,7,True
8,Peaky Blinders,2330,3,3,75,True
8,The Iron Hand,575,4,1,67,True
8,Solomons' Bakery,1770,5,3,17,True
9,The Cabal,1759,8,3,7,True
9,Kimber's Boys,2,10,4,15,True
9,Backstreet Boys,462,7,2,7,True
9,Peaky Blinders,2620,2,3,90,True
9,The Iron Hand,795,3,2,79,True
9,Solomons' Bakery,1873,5,4,22,True
10,The Cabal,2041,8,3,14,True
10,Kimber's Boys,144,10,4,30,True
10,Backstreet Boys,671,4,2,14,True
10,Peaky Blinders,2230,3,3,90,True
10,The Iron Hand,1145,3,2,79,True
10,Solomons' Bakery,2050,5,4,37,True
11,The Cabal,1623,9,3,14,True
11,Kimber's Boys,286,10,5,35,True
11,Backstreet Boys,240,5,2,14,True
11,Peaky Blinders,2142,2,3,70,True
11,The Iron Hand,1345,2,1,90,True
11,Solomons' Bakery,1527,6,4,37,True
12,The Cabal,1885,9,3,14,True
12,Kimber's Boys,210,11,5,35,True
12,Backstreet Boys,489,5,2,4,True
12,Peaky Blinders,2452,2,3,61,True
12,The Iron Hand,1770,2,1,90,True
12,Solomons' Bakery,1684,6,5,42,True
13,The Cabal,2147,9,3,14,True
13,Kimber's Boys,114,12,5,35,True
13,Backstreet Boys,738,4,3,19,True
13,Peaky Blinders,0,0,0,46,False
13,The Iron Hand,1495,3,1,97,True
13,Solomons' Bakery,1860,3,4,43,True
14,The Cabal,1909,9,3,24,True
14,Kimber's Boys,248,12,5,35,True
14,Backstreet Boys,1081,4,3,19,True
14,Peaky Blinders,0,0,0,46,False
14,The Iron Hand,1000,3,1,67,True
14,Solomons' Bakery,2022,3,4,34,True
15,The Cabal,2228,9,4,29,True
15,Kimber's Boys,382,12,6,40,True
15,Backstreet Boys,1424,4,3,10,True
15,Peaky Blinders,0,0,0,46,False
15,The Iron Hand,632,4,1,67,True
15,Solomons' Bakery,1484,4,4,34,True
16,The Cabal,2580,9,5,34,True
16,Kimber's Boys,34,12,6,50,True
16,Backstreet Boys,1767,4,3,10,True
16,Peaky Blinders,0,0,0,46,False
16,The Iron Hand,944,4,2,72,True
16,Solomons' Bakery,1626,4,4,34,True
17,The Cabal,2293,10,5,34,True
17,Kimber's Boys,54,10,7,35,True
17,Backstreet Boys,2110,4,3,10,True
17,Peaky Blinders,0,0,0,46,False
17,The Iron Hand,1287,4,2,72,True
17,Solomons' Bakery,1268,3,3,51,True
18,The Cabal,2686,9,5,34,True
18,Kimber's Boys,271,9,7,42,True
18,Backstreet Boys,2153,4,3,24,True
18,Peaky Blinders,0,0,0,46,False
18,The Iron Hand,1386,3,1,57,True
18,Solomons' Bakery,1457,2,3,66,True
19,The Cabal,3099,9,6,49,True
19,Kimber's Boys,258,10,7,42,True
19,Backstreet Boys,2554,4,3,24,True
19,Peaky Blinders,0,0,0,46,False
19,The Iron Hand,1461,2,2,32,True
19,Solomons' Bakery,1417,1,2,43,True
20,The Cabal,3531,9,6,49,True
20,Kimber's Boys,475,9,7,49,True
20,Backstreet Boys,2255,5,3,24,True
20,Peaky Blinders,0,0,0,46,False
20,The Iron Hand,1779,2,2,47,True
20,Solomons' Bakery,1425,1,2,47,True
21,The Cabal,3813,9,6,53,True
21,Kimber's Boys,212,9,7,59,True
21,Backstreet Boys,1936,6,3,24,True
